repo_name,watch,fork,star
babelouest/ulfius,34,112,523
sdispater/pendulum,60,206,3804
kubernetes/kubeadm,135,366,1960
Linutronix/elbe,14,27,55
wolfeidau/dex,0,0,0
lyonel/lshw,11,60,93
rundeck/rundeck-cli,18,36,81
newcontext-oss/kitchen-terraform,37,117,842
TehStoneMan/BetterStorageToo,4,2,2
mukundvarma/seurat,1,0,0
FlightControl-Master/MOOSE_MISSIONS,4,14,17
jellymann/mittsu,15,24,389
keflavich/spectral-cube,1,0,1
pyta-uoft/pyta,5,28,43
e-koch/spectral-cube,1,0,0
butla/experiments,1,0,0
extemporelang/extemporelang.github.io,9,16,31
MindLeaps/tracker,1,2,5
radio-astro-tools/spectral-cube,13,42,55
AsterNET/AsterNET,35,106,121
NuGetPackageExplorer/NuGetPackageExplorer,97,294,1482
liflab/beepbeep-3,5,11,13
penrose/penrose,50,39,1759
campersau/NuGetPackageExplorer,1,0,0
ollej/brewnit,1,0,1
petobens/dotfiles,6,6,69
adrtod/adrtod.github.io,1,0,0
CruGlobal/conf-registration-web,23,0,1
emculturate/pss,1,0,0
legiongis/ead,2,1,0
Musare/MusareNode,7,4,10
dlobron/ChugBot,2,3,2
postersw/AndersonIsland,1,0,0
Diacamma2/asso,1,4,1
AreaFiftyLAN/lancie-api,11,3,5
DanielaSfregola/twitter4s,10,83,215
4refr0nt/ESPlorer,118,264,930
DBotThePony/PPM2,2,1,1
milejko/mmi,8,5,5
ximion/appstream-generator,6,16,23
jenkinsci/gitlab-plugin,60,497,1160
hiqdev/hipanel-core,6,10,30
transitlinks/web-app,1,0,1
DiligentGraphics/DiligentSamples,11,27,86
andyholmes/gnome-shell-extension-gsconnect,56,120,1364
CodingFriends/Tincta,7,8,43
radai-rosenblatt/li-apache-kafka-clients,1,0,0
glaretechnologies/blendigo,7,4,7
wcm-io/wcm-io-caconfig,17,18,10
chiara-paci/baskerville,1,0,0
GoogleCloudPlatform/getting-started-java,68,537,424
haghighi-ahmad/haghighi-ahmad.github.io,1,1,0
lys829/yiBlog,0,0,0
nycrecords/intranet,2,1,1
googlemaps/google-maps-services-java,111,799,1285
sumbad/inscriptum,2,0,1
hdecarne/certmgr,4,3,17
